Chapter,Jurisdiction,Iso,Document title,Year enacted,Years amended,Policy scope,CDR relevance,Broad method,Specific method,CDR value chain focus,Instrument category,Instrument type,Target year,Target amount,Target unit,Target type,Target binding,Policy link
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,"Native Forest Research, Development and Innovation Program (PIDIBN)",2023,,Instrument,Funds research and innovation improving forest restoration and sustainable management supporting carbon sequestration.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,rd_d_funding,,,,,,https://faolex.fao.org/docs/pdf/arg223735.pdf
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,Law 27.520 on Climate Change,2019,,Framework,Establishes Argentina's national climate governance framework including mitigation planning and MRV systems.,Multiple,Multiple,Cross-cutting,Regulatory instrument,mrv_standard,,,,,,https://climate-laws.org/document/law-27520-on-minimum-budgets-for-adaptation-and-mitigation-to-global-climate-change_f2e5
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,Principles and National Guidelines for Integrated Forest and Livestock Management (MBGI),2022,,Instrument,Establishes standards for integrated forest-livestock practices that protect ecosystem functions and forest carbon stocks.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/360000-364999/363918/norma.htm
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,National Action Plan on Forests and Climate Change (PANByCC),2017,,Framework,National strategy to reduce deforestation and increase restoration to strengthen forest carbon sinks.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Information instrument,Other,,,,,,https://faolex.fao.org/docs/pdf/arg189818.pdf
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,Second Nationally Determined Contribution (NDC),2020,2021,Framework,Updated NDC establishing a strengthened economy-wide emissions cap including land-use sinks; further raised at COP26 to 349 MtCO₂e via 2021 addendum.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,349,MtCO₂e,Emissions,No,https://unfccc.int/documents/624856
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,National Forest Extension Programme (ProNEFor),2023,,Instrument,Supports sustainable forest management and reduced degradation to strengthen forest carbon sinks.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,operating_subsidy,,,,,,https://faolex.fao.org/docs/pdf/arg223575.pdf
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,Environmental Sustainability and Insurance Program,2018,,Instrument,Encourages investment in forestry expansion and sustainable forest ventures supporting carbon sequestration.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,operating_subsidy,,,,,,https://climate-laws.org/document/joint-resolution-1-2018-creating-the-environmental-and-insurance-sustainability-program_8187
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Long-term strategy for a climate-neutral Europe (EU LTS),2020,,Framework,Long-term EU climate strategy outlining pathways to climate neutrality by 2050 and emphasising the role of land sinks and technological carbon removals.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Information instrument,target,2050,0,net GHG emissions,Emissions,No,https://unfccc.int/documents/210328
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Long-Term Emissions Reduction Plan (Australia's Long-Term Strategy),2021,,Framework,"Australia's long-term strategy for achieving net zero emissions by 2050 highlighting roles for land-sector sinks, CCS and potential technological removals.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Information instrument,target,2050,0,net GHG emissions,Emissions,No,https://unfccc.int/sites/default/files/resource/Australias_LTS_WEB.pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,CPR Verde – Rural Product Note (Decree No. 10.828/2021),2021,,Instrument,"Enables issuance of rural product notes backed by environmental services, supporting monetisation of land-based carbon sequestration and restoration activities.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,crediting_mechanism; mrv_standard,,,,,,https://www.planalto.gov.br/ccivil_03/_Ato2019-2022/2021/Decreto/D10828.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,RenovaBio – National Biofuels Policy (Law No. 13.576/2017),2017,,Instrument,Establishes national biofuels crediting system (CBIOs); lifecycle accounting rewards lower-carbon biofuel production and indirectly enables BECCS.,Novel CDR,Bioenergy with carbon capture and storage (BECCS),Demand,Regulatory instrument,crediting_mechanism; mrv_standard,,,,,,https://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2017/Lei/L13576.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Decree No. 12.677/2025 creating the Extraordinary Secretariat for the Carbon Market,2025,,Framework,"Creates institutional framework for SBCE carbon market, including registry and MRV development relevant to future CDR integration.",Multiple,Multiple,Cross-cutting,Other,mrv_standard; Other,,,,,,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/D12677.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Brazil ETS / Sistema Brasileiro de Comércio de Emissões (SBCE) (Law No. 15.042/2024),2024,,Instrument,"Establishes regulated emissions trading system recognising emissions reduction and removal assets, creating compliance demand for CDR.",Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration; mrv_standard; regulatory_safeguard,,,,,,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/L15042.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National Policy on Climate Change (Law No. 12.187/2009),2009,,Framework,"Overarching climate framework combining mitigation and enhancement of sinks, underpinning land-based CDR policies.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2020,36.1-38.9,% below projected baseline,Emissions,Yes,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12187.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Plano Clima (National Climate Plan 2024–2035),2025,,Framework,"National climate strategy defining sectoral pathways including restoration and land-use sinks, providing strategic direction for scaling CDR.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Multiple",Cross-cutting,Other,Other,,,,,,https://www.gov.br/mma/pt-br/composicao/smc/plano-clima
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National Policy on Payment for Environmental Services (Law No. 14.119/2021),2021,,Framework,"Establishes PES schemes rewarding conservation and restoration, including activities generating carbon sequestration benefits.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Supply,Economic instrument,operating_subsidy,,,,,,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14119.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National Policy and Plan for Recovery of Native Vegetation (Planaveg),2017,2024,Framework,Establishes large-scale restoration policy increasing forest carbon sinks.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,target,2030,12,million ha,CDR,No,https://www.gov.br/mma/pt-br/composicao/sbio/dflo/plano-nacional-de-recuperacao-da-vegetacao-nativa-planaveg
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National Fertilizer Plan (2022–2050),2022,,Framework,Supports mineral input supply chains relevant to enhanced weathering deployment.,Novel CDR,Enhanced weathering,Supply,Other,Other,,,,,,https://faolex.fao.org/docs/pdf/bra216335.pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National REDD+ Strategy (ENREDD+),2015,,Framework,"National REDD+ strategy including conservation, sustainable forest management and enhancement of forest carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,https://climate-laws.org/document/ordinance-mma-370-2015-approving-the-redd-strategy-enredd_6eb6
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Amazon Fund,2008,,Instrument,Provides funding for forest conservation and restoration activities increasing forest carbon stocks.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.amazonfund.gov.br/en/home/
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Floresta+ Amazon Project,2019,,Instrument,PES scheme supporting forest conservation and restoration with carbon sequestration co-benefits.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,operating_subsidy,,,,,,https://redd.unfccc.int/files/brazil_national_redd__strategy.pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Action Plan to Prevent and Control Deforestation in the Amazon (PPCDAm),2004,2016; 2023,Instrument,Combines enforcement and restoration measures contributing to maintenance and recovery of forest carbon stocks.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard; Other,,,,,,https://climate-laws.org/document/plan-to-control-illegal-deforestation-and-recovery-of-native-vegetation-ppcdam-and-ppcerrado_212e
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Action Plan to Prevent and Control Deforestation and Fire in the Brazilian Cerrado (PPCerrado),2010,2016; 2023,Instrument,"Supports reduced deforestation and land restoration, contributing to preservation and recovery of carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard; Other,2030,40,% reduction vs baseline,Emissions,No,https://climate-laws.org/document/plan-to-control-illegal-deforestation-and-recovery-of-native-vegetation-ppcdam-and-ppcerrado_212e
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Brazilian Forest Code (Law No. 12.651/2012),2012,,Instrument,Establishes legal reserves and restoration obligations increasing forest carbon stocks.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Remineralizer Law (Law No. 12.890/2013),2013,2016,Instrument,Regulates remineralizers enabling enhanced weathering practices in agriculture.,Novel CDR,Enhanced weathering,Supply,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.gov.br/agricultura/pt-br/assuntos/insumos-agropecuarios/insumos-agricolas/fertilizantes/legislacao/lei-no-12-890-de-10-de-dezembro-de-2013_ingles.pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National Programme for Conversion of Degraded Pastures (PNCPD),2023,,Instrument,Supports restoration of degraded land improving soil and biomass carbon stocks.,Conventional CDR,"Soil carbon sequestration in croplands & grasslands; Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11815.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Programme RenovAgro (Low-Carbon Agriculture Programme),2010,2020,Instrument,Provides concessional finance for practices including restoration and soil carbon enhancement.,Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Supply,Economic instrument,public_loan,,,,,,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/plano-abc/plano-abc-agricultura-de-baixa-emissao-de-carbono
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,National Soils Program (PronaSolos),2018,,Instrument,Provides soil monitoring and mapping infrastructure enabling soil carbon MRV.,Conventional CDR,Soil carbon sequestration in croplands & grasslands,Supply,Information instrument,mrv_standard,,,,,,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/pronasolos
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Decree establishing sectoral mitigation plans and National GHG Registry,2022,,Instrument,Creates registry and accounting framework for tracking emissions reductions and removals.,Multiple,Multiple,Cross-cutting,Regulatory instrument,mrv_standard; crediting_mechanism,,,,,,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d11075.htm
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,ABC+ (Sectoral Plan for Low-Carbon Agriculture),2020,,Framework,"Supports soil carbon, agroforestry and restoration practices increasing land-based removals.",Conventional CDR,"Soil carbon sequestration in croplands & grasslands; Agroforestry; Afforestation, reforestation, forest management",Supply,Other,target; public_loan; capital_subsidy; operating_subsidy,2030,1042,MtCO₂e,CDR,No,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/plano-abc
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Brazil's Nationally Determined Contribution – First NDC,2015,,Framework,NDC committing Brazil to reduce net GHG emissions by 37% by 2025 and 43% by 2030 below 2005 levels; land-based carbon sinks contribute to the target.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Regulatory instrument,target,2025; 2030,37; 43,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2023-11/Brazil%20First%20NDC%202023%20adjustment.pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Brazil's Nationally Determined Contribution – 2020 Update,2020,,Framework,"Brazil resubmitted its NDC in 2020, maintaining the 43% reduction below 2005 by 2030 target and including land-use sink contributions from reforestation and forest management.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,43,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/Brazil%20First%20NDC%20(Updated%20submission).pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Brazil's Nationally Determined Contribution – 2023 Update (First NDC revised),2023,,Framework,"Brazil submitted an updated First NDC in 2023, increasing ambition to 48–53% below 2005 by 2025/2030 and emphasising land-based sink contributions.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2025; 2030,48; 53,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2023-11/Brazil%20First%20NDC%202023%20updated%20submission.pdf
State of CDR (Edition 3) - Policymaking and governance,Brazil,BRA,Brazil's Nationally Determined Contribution – Second NDC,2024,,Framework,"Updated NDC setting a 2035 emissions reduction target of 59–67% below 2005 levels, highlighting the role of restoration and land sinks.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Regulatory instrument,target,2035,59-67,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/2024-11/Brazil_Second%20Nationally%20Determined%20Contribution%20%28NDC%29_November2024.pdf
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Natural Climate Solutions Fund,2021,,Instrument,"A C$5 billion fund comprising sub-programmes supporting afforestation, wetland/peatland restoration and soil carbon sequestration.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Supply,Economic instrument,capital_subsidy; operating_subsidy,2031,2000000000,trees planted,CDR,,https://natural-resources.canada.ca/forest-forestry/2-billion-trees-program
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Canada's Greenhouse Gas Offset Credit System,2022,,Instrument,"Creates federal offset credits for verified emissions reductions and removals under approved protocols, including forest management, soil carbon and potential DACCS.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Direct air capture with geological storage (DACCS)",Supply,Regulatory instrument,crediting_mechanism; mrv_standard,,,,,,https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work/output-based-pricing-system/federal-greenhouse-gas-offset-system.html
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Greening Government Strategy – CDR Purchase Commitment,2024,,Instrument,"Federal commitment to procure at least C$10 million in certified CDR services between 2024 and 2030, establishing a government demand signal.",Multiple,Direct air capture with geological storage (DACCS); Bioenergy with carbon capture and storage (BECCS); Multiple,Demand,Economic instrument,public_procurement,2030,10000000,CAD (minimum purchases),CDR,,https://www.canada.ca/en/treasury-board-secretariat/services/innovation/greening-government/strategy.html
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Output-Based Pricing System (OBPS),2019,2023,Instrument,Federal industrial carbon pricing system allowing use of offset credits including CDR-related protocols for compliance.,Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration; mrv_standard,,,,,,https://icapcarbonaction.com/system/files/ets_pdfs/icap-etsmap-factsheet-135.pdf
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,2030 Emissions Reduction Plan,2022,,Framework,Federal roadmap to achieve 40–45% emissions reduction below 2005 levels by 2030; includes nature-based solutions and CCUS signals.,Multiple,Multiple,Cross-cutting,Other,target,2030,40-45,% below 2005 levels,Emissions,No,https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/emissions-reduction-2030/plan.html
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Low Carbon Economy Fund,2017,,Instrument,Finances projects that reduce emissions and increase carbon stocks in forests and soils; includes multiple funding streams.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; CO₂ geological storage",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.canada.ca/en/environment-climate-change/services/climate-change/low-carbon-economy-fund.html
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Canada's Carbon Management Strategy,2023,,Framework,National strategy to scale CCUS and CDR including DAC and geological storage; sets indicative deployment scenarios and priorities.,Novel CDR; Enabling infrastructure,Direct air capture with geological storage (DACCS); Bioenergy with carbon capture and storage (BECCS); CO₂ geological storage; CO₂ transport,Cross-cutting,Other,rd_d_funding; Other,2050,60-80 (CCUS); 46-55 (DAC),MtCO₂/year,CDR,,https://natural-resources.canada.ca/sites/nrcan/files/energy/pdf/NRCan_CCMS_EN.pdf
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,"Carbon Capture, Utilization and Storage (CCUS) Investment Tax Credit (ITC)",2022,,Instrument,"Refundable investment tax credit supporting CCUS including DACCS, geological storage and CO₂ utilisation.",Novel CDR; Enabling infrastructure,"Direct air capture with geological storage (DACCS); CO₂ geological storage; Mineral products (e.g. CO₂-cured concrete, aggregates)",Supply,Economic instrument,tax_incentive,,,,,,https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/corporations/business-tax-credits/clean-economy-itc/carbon-capture-itc.html
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Canadian Net-Zero Emissions Accountability Act (CNZEAA),2021,,Framework,Sets binding emissions targets including 40–45% reduction by 2030 and net-zero by 2050; removals contribute to target achievement.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030; 2050,40-45; 0,% below 2005 levels; net zero,Emissions,Yes,https://laws-lois.justice.gc.ca/eng/acts/C-19.3/
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,On-Farm Climate Action Fund (OFCAF),2021,,Instrument,Funding for agricultural practices including cover cropping and rotational grazing that enhance soil carbon sequestration.,Conventional CDR,Soil carbon sequestration in croplands & grasslands,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://agriculture.canada.ca/en/programs/agricultural-climate-solutions-farm-climate-action-fund
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Mid-Century Long-Term Low Greenhouse Gas Development Strategy,2016,,Framework,Canada's LT-LEDS outlining long-term decarbonisation pathways including forest sinks and land-use removals.,Conventional CDR,"Afforestation, reforestation, forest management; Durable wood products",Cross-cutting,Other,Other,,,,,,https://unfccc.int/files/focus/long-term_strategies/application/pdf/canadas_mid-century_long-term_strategy.pdf
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Pan-Canadian Framework on Clean Growth and Climate Change,2016,,Framework,National climate framework including carbon pricing and sectoral measures; references land-based removals in forestry and agriculture.,Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Other,Other,,,,,,https://www.canada.ca/en/services/environment/weather/climatechange/pan-canadian-framework/climate-change-plan.html
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Agricultural Clean Technology Program (Adoption Stream),2021,,Instrument,Supports adoption of clean agricultural technologies including biochar and pilot support for enhanced weathering and soil carbon practices.,Conventional CDR; Novel CDR,Biochar soil amendment; Enhanced weathering; Soil carbon sequestration in croplands & grasslands,Supply,Economic instrument,capital_subsidy,,,,,,https://agriculture.canada.ca/en/programs/agricultural-clean-technology-adoption-stream
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Canada's Nationally Determined Contribution – First NDC (2021 Enhanced),2015,2017; 2021,Framework,Enhanced NDC committing to 40–45% emissions reduction below 2005 levels by 2030; includes land-use removals in accounting.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,40-45,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/Canada's%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Canada's Nationally Determined Contribution – Enhanced First NDC (2021),2021,,Framework,"Canada's 2021 enhanced NDC targets 40–45% below 2005 levels by 2030, with natural climate solutions and forest conservation as key CDR-relevant contributions.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,40-45,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/Canada's%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf
State of CDR (Edition 3) - Policymaking and governance,Canada,CAN,Canada's Nationally Determined Contribution – Second NDC (2035 Target),2025,,Framework,"Updated NDC committing to 45–50% emissions reduction below 2005 levels by 2035, with partial contribution from land-sector removals.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2035,45-50,% below 2005 levels,Emissions,No,https://unfccc.int/sites/default/files/2025-02/Canada%27s%202035%20Nationally%20Determined%20Contribution.pdf
State of CDR (Edition 3) - Policymaking and governance,France,FRA,France 2030 – Forest Renewal Measure,2023,,Instrument,"Provides funding (€150 million) to support forest renewal, adaptation and resilience, including reforestation and stand improvement, contributing to restoration of France's forest carbon sink.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy,,,,,,https://www.info.gouv.fr/actualite/france-2030-ouverture-du-guichet-et-annonce-des-resultats-de-l-ami-renouvellement-forestier
State of CDR (Edition 3) - Policymaking and governance,France,FRA,"Law on Climate and Resilience – Net-Zero Land Artificialisation Objective (Loi Climat et Résilience, Art. 194)",2021,2023,Framework,"Establishes 'zero net artificialisation' target by 2050, protecting soils from land-use change and limiting associated loss of soil carbon stocks.",Conventional CDR,Soil carbon sequestration in croplands & grasslands,Cross-cutting,Regulatory instrument,target,2050,0,net land artificialised (ha/year),Emissions,Yes,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043956924
State of CDR (Edition 3) - Policymaking and governance,France,FRA,Low-Carbon Label (Label bas-carbone),2018,2025,Instrument,Government voluntary certification framework for emissions reductions and removals including forestry and agricultural carbon sequestration; enables generation of label credits tradeable in voluntary carbon markets.,Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration; Agroforestry",Supply,Regulatory instrument,crediting_mechanism; mrv_standard,,,,,,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000037657959
State of CDR (Edition 3) - Policymaking and governance,France,FRA,"National Forest and Wood Programme (Programme national de la forêt et du bois, PNFB) 2016–2026",2016,,Framework,"National forestry strategy guiding forest management, adaptation and biomass use, including forest renewal and carbon stock considerations; sets mobilisation targets for additional wood volumes.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,Other,,,,,,https://agriculture.gouv.fr/le-programme-national-de-la-foret-et-du-bois-2016-2026
State of CDR (Edition 3) - Policymaking and governance,France,FRA,"CAP Strategic Plan (France) 2023–2027 (Plan Stratégique National, PSN)",2023,,Framework,"Implements EU Common Agricultural Policy in France, supporting agroecological practices, soil carbon sequestration and agroforestry through eco-schemes and agri-environment-climate measures.",Conventional CDR,Soil carbon sequestration in croplands & grasslands; Agroforestry,Supply,Economic instrument,operating_subsidy,,,,,,https://agriculture.gouv.fr/pac-2023-2027-le-plan-strategique-national
State of CDR (Edition 3) - Policymaking and governance,France,FRA,France 2030 / Industrial Decarbonisation (Décarbonation industrielle) – CCUS Eligibility,2021,2023,Instrument,Public investment programme supporting industrial decarbonisation including CCUS pilot projects and CO₂ transport and storage infrastructure; indirectly enables BECCS deployment.,Novel CDR; Enabling infrastructure,CO₂ transport; CO₂ geological storage; Bioenergy with carbon capture and storage (BECCS),Supply,Economic instrument,rd_d_funding; capital_subsidy,,,,,,https://www.gouvernement.fr/france-2030
State of CDR (Edition 3) - Policymaking and governance,France,FRA,"National Low-Carbon Strategy (Stratégie nationale bas-carbone, SNBC 2) and Carbon Budgets",2020,,Framework,France's national climate roadmap setting five-year carbon budgets and long-term carbon neutrality objective by 2050; explicitly incorporates land sinks and limited engineered CDR (BECCS) in neutrality pathway.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration; Agroforestry; Bioenergy with carbon capture and storage (BECCS)",Cross-cutting,Regulatory instrument,target,2024-2028; 2029-2033,300; 270,MtCO₂e/year carbon budget,Emissions,Yes,https://www.ecologie.gouv.fr/politiques-publiques/strategie-nationale-bas-carbone-snbc-2-vigueur
State of CDR (Edition 3) - Policymaking and governance,France,FRA,"National Biomass Mobilisation Strategy (Stratégie nationale de mobilisation de la biomasse, SNMB)",2018,,Framework,"Defines sustainable biomass mobilisation pathways including forest and agricultural residues, indirectly shaping availability of biomass for energy and potential BECCS applications.",Conventional CDR; Novel CDR,"Bioenergy with carbon capture and storage (BECCS); Afforestation, reforestation, forest management",Cross-cutting,Other,regulatory_safeguard; Other,,,,,,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000036711308
State of CDR (Edition 3) - Policymaking and governance,France,FRA,National CCUS Strategy (Stratégie nationale CCUS),2024,,Framework,"National strategy outlining development of CO₂ capture, transport and storage infrastructure with indicative deployment pathway to 30–50 MtCO₂/year by 2050.",Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport; Bioenergy with carbon capture and storage (BECCS),Cross-cutting,Other,target; regulatory_safeguard,2050,30-50,MtCO₂/year captured and stored,CO₂ storage,No,https://www.ecologie.gouv.fr/presse/strategie-nationale-ccus-letat-accelere-decarbonation-industrielle
State of CDR (Edition 3) - Policymaking and governance,France,FRA,"Energy and Climate Law (Loi énergie-climat, Loi n° 2019-1147)",2019,,Framework,Sets legally binding objective of carbon neutrality by 2050 and restructures national climate governance; neutrality objective implicitly includes land sinks and residual CDR.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2050,0,net GHG emissions (carbon neutrality),Emissions,Yes,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039355955
State of CDR (Edition 3) - Policymaking and governance,France,FRA,Tax Incentive Scheme for Forest Investment (DEFI Forêt),2001,2023,Instrument,"Tax incentives supporting forest investment, afforestation, sustainable forest management and forest group membership; extended and restructured in 2023 Finance Law.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,tax_incentive,,,,,,https://bofip.impots.gouv.fr/bofip/13774-PGP.html/ACTU-2022-00155
State of CDR (Edition 3) - Policymaking and governance,France,FRA,National Forestry Accounting Plan (Plan comptable forestier national),2020,2020,Framework,Defines France's forest reference level and accounting rules for forest carbon stocks under the EU LULUCF framework for the 2021–2025 and 2026–2030 periods.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Information instrument,mrv_standard,,,,,,https://www.ecologie.gouv.fr/sites/default/files/documents/National%20Forest%20Accounting%20Plan%20France%202019%20with%20explanary%20note%20VEN.pdf
